autor,calificacion,contenido,hotel,titulo
Tony S,40,"El museo del Templo del sol ..este está a tan solo 7 minutos del atractivo turístico Mitad del mundo..y a tan solo 2 minutos del mirador del volcán Pululahua ,,,...",Museo Templo del Sol Pintor Ortega Maila,Cultural..
Tony S,40,"Situado en un lugar genial cerca de todo ,,tienen parqueadero privado muy importante ,,las instalaciones bien ,acogedor para pasar en familia ,amigos o parejas ,...",Cinco Sentidos Restaurante,Genial 
Tony S,40,"El Ecuador definitivamente es un país mega diverso ,su flora y fauna,única ,en la ciudad de Guayaquil puedes pasar un día totalmente comprometido con la natural,...",Parque Historico Guayaquil,Genial
Tony S,50,"En Quito ,para disfrutar de la ciudad nada mejor que hospedarse es este hotel ,,súper bien ubicado confor ,lujoy la atención muy profesionales ,junto al palaci,...",Hotel Plaza Grande,Lo mejor
Tony S,50,"Para disfrutar de las playas de la ciudad de Manta y sus alrededores ,sin lugar a duda el Hotel Poseidón ,dan las facilidades para pasarla genial ,en compañía d,...",Hotel Poseidon,"Sol,playa ,elegancia"
Tony S,40,"Para deleitarse de su paisaje del lago San Pablo y de sus alrededores este es un genial lugar. el lugar posee un restaurant ,sus cabañas muy acogedoras ,lugar p,...",Cabanas del Lago - comedor,Genial lugar Imbabura
Tony S,40,"Torres Suites es una excelente alternativa para hospedarse y sentirse como en su propio departamento,excelente ubicación en la capital de los Ecuatorianos,,Amaz,...",Torres de Suites - Quito,Elegancia
Joamiche,50,"Great sashimi & sushi, well prepared by chef Atsuko Uchiyama, in a cosy dining room. Go for the set menu & follow her advices about Sake; a must in Osaka",Sushi Uchiyama,Great sushi $ sashimi
Joamiche,50,"Surprised to see some bad comments about Zonar’s. Everything we had was great, seating, service, dishes (originally prepared) & wine. We had dinner by 18:30, it,...",Dionysos Zonar's,Great restaurant with amazing view
Joamiche,40,"Good traditional greek restaurant, with a nice wine list. The view over the Acropolis is amazing, so, make sure to book. Prices are reasonable. There is free wi,...",The Athens Gate Roof Top Restaurant,Good traditional greek restaurant
Joamiche,50,"We agree with others, this is by far the best & most original Greek restaurant we had. Dishes have standard names, but they are prepared in an unseen/great way;,...","Thes ""Greek Creative Cuisine""",By far the best original greek restaurant
Joamiche,40,"Nice greek restaurant, with fantastic view over the Acropolis. Plenty of tables are available. The Wine list has lots of choices at good prices. There is wifi.",The Royal Roof Garden,Good Greek with nice view
Joamiche,40,"Good chinese restaurant, mostly Sichuan (hot), in a modern setting. Dimsums (Cantonese) is not up to the HongKong standard. The wine list is very original with ,...",Birds of a Feather,Modern Sichuan Restaurant
Joamiche,40,"At last a good restaurant with outside tables by the river… something hard to find in OR. Good dishes & nice wine list. A great restaurant to enjoy a dinner out,...",Riverside Restaurant & Lounge,Nice dinner by the river
Joamiche,30,"Standard hotel food; nothing special really. The wine list is expensive. They do not have outside tables, but they have a large bar area with tv screen for spor,...",Bentley's,Safe place if you hv enough of lousy restaurants in Salem
Joamiche,50,"A must go if u hv enough of lousy restaurants in Salem. There are outside tables. Great original dishes with a good variety of choices. Nice wine list with reas,...",The Cozy Taberna,The best in Salem
Joamiche,20,"Standard coffee shop menu; nothing special to underline. Average wine list. Limited dessert choice. Outside tables with a nice view over the river is available,,...",Territory,Average food & service
Joamiche,50,"Great, fun & safe rafting. Kyle is very knowledgeable. He knows the Rogue River like the back of his hand. Weather was great, but Arrowhead has all protection g,...",Arrowhead River Adventures,"Great, fun & safe Rafting"
Joamiche,50,"Great restaurant, with a nice patio: food offered has good variety & is well done. The wine list has a good range at reasonable prices. We went at the bar as we,...",Bella Union Restaurant & Saloon,Great restaurant With great patio
Joamiche,50,"Nice restaurant, with great view & available seats outside when weather allows it. The seafood is well prepared & wine list with good choices. Prices are reason,...",1606 Restaurant & Oyster Bar,Great seafood restaurant
Joamiche,50,"Great original dishes to share, with meat & seafood choices. Desserts are a must as well. The wine list is not good, except for the french champagne, unfortunat,...",Lingo,Great Japanese Fusion
Joamiche,50,Very good Portuguese restaurant. Nice dining room with outside view & a bar. Pleasant service & great wine list with a range of prices.,Casa Lisboa Portuguese Restaurant & Bar,Enjoyable Portuguese Dinner
Joamiche,30,"Nice Spanish dishes, but nothing exceptional. The wine list is limited but with a good range. The kitchen closes at 21:30, so come early & book. The dining room,...",Bàrbar,Good Spanish Restaurant
Joamiche,40,"The best restaurant we got out of NM, UT, TX & AZ. Nice service, though we go in without reservation. Dishes are well done & in reasonable size. The wine list h,...",Geronimo,The best of our trip
Joamiche,30,"The Tofu/bean curd dinner was a good experience, though we expected more originality. The service is nice with dishes well explained. The wine list is good.. Wi,...",Mora,"Great experience, but overpriced"
Joamiche,50,"Very creative new french restaurant with passionate Chefs. They come to your table to explain each dish. The place is small but the noise level is low. The wine,...",Racines,Very creative french restaurant
Joamiche,50,"A great restaurant, hidden between Dormans & Conde en Brie, worth the visit. But make sure to book, because it is enjoyed by licals, anb there are about 20seats,...",Le Bastidon,Warm ambiance with great food
Paul B,50,"Its just behind Kia Motors at the end of the walkway/bridge. Just follow the big satellite dish round to the right and right again. The bridge has a lift on one,...",Hotel Garzota Inn,Closest hotel to airport - perfect for overnight stops.
Paul B,50,"Stayed at this cottage during a wildlife holiday (also highly recommended):Its a really lovely cottage with a great view overlooking a field going down to the ,...",Invercassley Cottage B & B,Invercassley Cottage
ladulce,30,"We got to the hotel late- like 2 AM and it was raining.  The hotel is located on what appeared to be a dead-end street alongside a murky swamp with a highway ru,...",Days Inn by Wyndham Mankato,Decent hotel in scary looking location
ladulce,40,"This hotel is one that we have stayed at more than once.  At our last 10 day trip, we booked a 2-room suite which had a front room with 3 hotels (for our 3 chil,...",Bambú Resort,"Secure hotel with friendly staff, clean rooms, beautiful pool and amazing fruit punch!"
ladulce,50,"I am a single mother that was traveling with my 4 children (7-14 years old).  After spending the summer in Ecuador, on our last night in Guayaquil, I was a vict,...",Hotel Marcelius,"Horrible Experience in Guayaquil, hotel staff made it better and kept us safe.  Thank you"
ladulce,50,"I am traveling as a single mother with my 4 children (6,8,12, 14).  I was very nervous about booking with Mio Tours and Efrian, because I worried that the guide,...",MIO Tours - Day Tours,If you are considering taking children on Mio tours- read this!
YP Explorers,50,"We went to eat here on our last day and the food was delicious!! We ordered the platter for 2 and it was the perfect amount. Really tasty and a great portion si,...",El Rincon De Beirut,Delicious food!
YP Explorers,40,"We stayed here for 5 nights over Easter weekend. We booked the grand premium level room which had the jacuzzi in the room and a lovely view. It was a lovely roo,...",Melia Sevilla,Family trip to Seville
YP Explorers,10,"We initially wanted to visit Star of Asia Restaurant near our hotel but they were fully booked.We then went to La Maharani on a whim, without reading any revi,...",La Maharani,Disappointed food and service on New Years Eve 2019
YP Explorers,50,"We booked our 2 day 1 night trek with Sapa Sisters and this was the best decision. They were great with communication before we arrived and the service was grea,...",Sapa Sisters Trekking Adventures,Fantastic!
YP Explorers,50,"This was a very well planned tour and our tour guide Van was superb! She was very informative and took care of everyone. We throughly enjoyed the whole day, the,...",Cu Chi Tunnels and Mekong Delta - Luxury Tour from HCM City,Really enjoyed the trip
YP Explorers,50,"We booked our Halong Bay cruise with Inside Travel whilst in the UK. The company was very efficient and communicated well with us. It was easy to book and they ,...",Inside Travel,Well organised
YP Explorers,50,"We used Hura Cars for our trip from Hue to Hoi An. Our driver was (Dung) David and he was excellent. He would explain things as we were driving about the places,...",Scenic trip from Hue to Hoi An via Hai Van pass by car,Very comfortable and excellent driver
YP Explorers,50,"Our first night in Hanoi and we came here for traditional Pho. It was delicious! My mum is vegetarian and they had plenty of choices for her. The service was ve,...",Madam Tran Restaurants,Delicious food
YP Explorers,40,"We stayed here for one night before flying. This is a good stop over hostel, they provide a airport shuttle service too. The rooms, bathrooms and kitchen were c,...",Patagonia House,Nice hostel
YP Explorers,30,"The hostel overall was nice but it was a hotel and hostel. The location was good. The hostel was clean and had hot water. The WiFi was good. The size of the roo,...",Latacunga Hostel,Basic and ok for one night stay
YP Explorers,50,"Really nice hostel! Welcomed as soon as we arrived and the staff were lovely. The hostel felt really homely and safe. We booked 2 dorm beds however, as they ove,...",Llullu Llama Mountain Lodge,Excellent hostel
YP Explorers,50,"The hostel was in a great location, 5 mins from the beach front. The staff were helpful even with the language barrier they always tried their best to assist us,...",Hostal Posada San Martin,Great hostel in a good location
YP Explorers,50,"The hostel was hidden away in the jungle which is exactly what we wanted. We had just done the Lost City Trek and wanted a couple of days to relax. The pool was,...",Colores de la Sierra,Lovely relaxing place in the middle of the jungle
YP Explorers,50,"This was our first stop into our 5 month trip and we were happy with this hostel. Very modern hostel and the staff were super helpful with questions about direc,...",Circus Hostel & Hotel,Modern hostel
YP Explorers,40,"Lorena was a lovely host and made us feel very welcome! We stayed 2 nights. She sat down with us on the first day to run through things to do, she organised che,...",Casa Yaguarete B&B,Lovely host and hostel
YP Explorers,50,"Great hostel, very clean room and bathroom. Kitchen facilities were good for making dinner and breakfast was provided. Had fruit, bread, tea, coffee and cereal.,...",Chepatagonia Hostel,Great stay! Would come back
YP Explorers,50,"Great hostel with lovely staff. May not look great from the outside but it is lovely.  The staff were helpful with any questions we had about the area and treks,...",La Comarca,Lovely hostel
YP Explorers,40,"Really great hostel, super clean and very big! The breakfast was excellent, buffet style with lots of choice, eggs, fruit, bread, cereal etc.One downfall is t,...",Hostal Providencia,"Great hostel, lovely staff and big!"
YP Explorers,30,"The location of the hostel was good. We had a private double room and the first impressions was not great. The bathroom was so small and the shower was basicall,...",Hostel Suites Mendoza,Budget hostel
YP Explorers,40,"This was a lovely hostel and about 10 mins walk from the main Plaza town area. They had a great kitchen facility and the common area was big and comfortable. Th,...",Coloria Hostel,Lovely hostel and good location
chuckshelley,50,"The lunch at this picanteria wasn't the cheapest we had but it certainly was DELICIOUS! I had the shrimp soup and it blew me away.  There were many ingredients ,...",La Benita de los Claustros,So very delicious!
chuckshelley,20,"The pool area was nice and they loan you pool towels, but that's where the positives end for me. No hand towels or wash rags in the bathrooms.  The bed was very,...",Hostal Curasi,Not great
chuckshelley,40,"this guy named iker helped us check in, was super friendly, always greeted our return with a smile. even helped us get a covid test for our flight by calling a ,...",Hello! Las Peñas Siglo XXI B&B,helpful and friendly staff
chuckshelley,50,"so our little group of travelers had chartered a cat in the bvi's and we made the HORRENDOUS mistake of taking a cab from st. thomas airport to the ferry. cheap,...",Dolphin Water Taxi,life saver water taxi more like it
chuckshelley,50,"my wife and i just got back from diving with simone (which i've done in the past but have yet to write a review for). i have dived around the world and simone,...",Careyitos Divers,Best Dive Master in Cozumel - Simone
chuckshelley,50,"we came for a mini-honeymoon having just been married in beaumont, tx and the service is just what we expected from other reviews. great amenities, great proper,...",The Galvestonian,everything good goes on here
chuckshelley,,"apparently, neither did lexepress",,
Diego C,50,"good price, located in front of the airport, confortable rooms, the staff was very helpuf, the wifi is fast and the rooms has everything that any travelered nee,...",Hostal Posada Del Sol,Great place in front of the airport
Diego C,50,"Lo mejor, atención, comodidad y alimentación de primera, valet parking, habitación y todos los servicios fueron de lo mejor con una atención siempre a tiempo y ,...",Sheraton Quito Hotel,Excelente
_liam_abbott_,30,"Food was average (hence the three stars) and the service was slow and just not nice. My water only got refilled once during the course of our meal and the water,...",La Piazza the Grove,Slow Service with Average Food. 
_liam_abbott_,50,"As someone with an allergy, the waiter dealt with it very well and was super friendly throughout our time there. He was very knowledgable about the food in addi,...",Citrus City Grille,Amazing Service with an Amazing Range of Food
_liam_abbott_,50,"Unlike your traditional steakhouse, Lot 88 offers the unique dining experience on cooking your steak on a 600ºF stone at your table. Cook it how you like it, ha,...",Dairy Queen Grill & Chill,Best Restaurant in North Bay with a Unique Dining Experience
_liam_abbott_,50,"What can I say - ideal location, clean rooms, a variety of facilities (pool, fitness center, outdoor lounge area with BBQ's, indoor lounge area), modern design,,...",Homewood Suites by Hilton North Bay,Best Hotel in North Bay
_liam_abbott_,40,"After wandering around the downtown core of North Bay, I quickly realized that Greco's seemed to be the best place for an affordable, good meal, for any group o,...",Greco's Pizza & Pasta,Local food for a good price.
_liam_abbott_,30,"There is nothing wrong with Bromont - it has great high-speed lifts, a variety of beginner to advance terrain (but nothing extreme), and both day and night skii,...","Bromont, montagne d'experiences","Close to Montreal, but there are better mountains out there..."
_liam_abbott_,50,"If your in the the Quebec City area you have to visit Old Quebec. Being the only walled city in North America, it truly is a unique place with a vibrant culture,...",Old Quebec,Must See!
_liam_abbott_,10,"We were the second ones in the restaurant and everyone before us got served. We went to the waiter and asked why and she blamed it on us saying “well you ordere,...",Creperie-Bistro L'Escale,"Poor Service, Bad Food"
_liam_abbott_,40,"If you are in Toronto and are downtown, you have to check out Nathan Phillips Square. This square is located right in front of Toronto City Hall and right besid,...",Nathan Phillips Square,One of the most Iconic Areas in Toronto
_liam_abbott_,50,"The Union Pearson Express is the best option for any traveler looking to get from downtown Toronto to YYZ. Trains go every 15 minutes, meaning you will be from ,...",UP Express,"Quick, Convient, Cheap"
_liam_abbott_,50,"This exhilarating activity is one that you can get nowhere else in the world and makes anyone, regardless of fearing heights or not, seek discomfort. Although i,...",Edge Walk at the CN Tower,Thrills & Chills
_liam_abbott_,40,"The CN Tower, being the iconic building it is, allows for visitors to get the best view in the city from over 500m in the sky. The key to getting the most out o,...",CN Tower,A must see in Toronto
_liam_abbott_,30,"For $7.50 and at certain times a long line, i would expect much more then what I got. Don’t get me wrong, the ice cream taste amazing but I just do not think it,...",Sweet Jesus,Pricey but good. 
_liam_abbott_,40,"I went there with my family for lunch and was surprised at how good the food was. I order the coconut chicken curry which was absolutely delicious and highly re,...",Paper Crane by Crystalbrook,Good lunch menu 
_liam_abbott_,40,"Being a new hotel, it has all the nice decor, ambience, and cleanliness but the only thing they can improve upon would be the customer service. They forgot to g,...",Crystalbrook Riley,One of the best in Cairns
_liam_abbott_,40,"The location of the Shangri-La allows for ideal walking distance to some of Sydney’s most prominent attractions. The Rocks is only a couple blocks away and offe,...",Shangri-La Sydney,Great Location with Amazing Views!
_liam_abbott_,40,"Emirates One&Only Wolgan Valley has scenery and wildlife unmatched in the Blue Mountain region. On the way to the resort we considered stopping at lookouts that,...",Emirates One&Only Wolgan Valley,I WANT to give it 5 Stars
_liam_abbott_,40,"With quick delivery and great pizza, Toppers is my got to pizza place in collingwood. Especially when ordering in, they have a surprisingly short delivery time ,...",Topper's Pizza - Collingwood,Best Delivery in Collingwood
_liam_abbott_,40,"The staff were nice enough to bump us up to an earlier flight for free since we arrived at the airport early. Seats are well spaced to other airlines such as Ai,...",Air Canada,Nothing Special - Good Flight no problems
_liam_abbott_,40,"Being a fondue restaurant and previously a swingers club in the 1970’s, Grizzly House offers a wide variety of food which spans from steak and chicken to shark ,...",Grizzly House Restaurant,Unique and fun experience
Fabricio B,40,"I loved the pool area, it's great to relax and to have a good time. I will come back anytime.The whole hotel is very beautiful, the staff is also very polite a,...",Luxva Hotel Boutique,Very nice open space
Jyotsna J,10,"We arrived with our luggage and no one gave us hand to take it up the two flights of stairs. The whole place needs upgrading with curtains that were grey than w,...",Mansion del Rio,"More a museum ,than a hotel."
,50,"The staff was excellent and went out of their way to make us feel at home - even making us a late night snack so we didn't have to go out. Great wine, beautiful,...",Casa García Hotel,Fantastic service and a worry-free stay in Guayaquil
AKflyboy,30,"Well worth doing, as over 10,000 people have testified and reviewed. The scenery and experience they offer here is globally unique.  It really is one of Vietnam,...",Khu Du Lich Sinh Thai Trang An Co,Slave Labor with Nature & History
AKflyboy,50,"Helping hundreds of backpackers (& counting) experience Vietnam, THIS is THE PLACE to go if you wanna have a well-managed and affordable travel experience.  I'v,...",Lily's Travel Agency,Excellent English-speaking Custom Travel Service
AKflyboy,10,"Limo Van is a transfer that picks up at the hotel, then changed to another one in town. Narrowly survived the initial ride, careening thru the countryside, only,...",Limousine Trang An,Slumlord Limo Service
AKflyboy,30,"The place feels very old Dubai, almost to the point of being nostalgic.  The food is rather average, and nothing really more or less than you'd expect at a loca,...",Ibn Hamido,Just Another Forgettable Memory
AKflyboy,40,"Once you get to the top, the experience is decent.  Nice malls, good dining options, the view of one of the world's premier cities is nothing short of breathtak,...",Peak Tram,Worth the Wait? 
AKflyboy,50,"This is one of the most happening, awe-inspiring attractions in a city that is known globally for it's flash and flamboyance.  It's been reviewed over 60,000 ti,...",The Dubai Fountain,Bling Ding & Dazzle
AKflyboy,30,"Ok.  If you wanna buy a Korg, this is where you're gonna go.  Or Kawai.  I've also purchased a VOX guitar pedal board from these guys, as well as a few other mu,...",Orchestra Megastore,"Weird Hours, Decent Store"
AKflyboy,30,"This place was the best of the best, king of the hill, top of the stack, place to see and be seen ... back in the 90's when it opened.  Don't get me wrong.  It',...",Aviation Club Hotel,Happening Historically
AKflyboy,50,"It should be number one. The price is free. The place is lovely. It's one of the few genuinely, incredible nature attractions in the region.  It seems never to ,...",Ras Al Khor Wildlife Sanctuary,The ONLY real OMG Nature Scene in the Desert
AKflyboy,30,"Someone said it's a Chinese flea market.  Take it from someone who's spent a couple decades in Asia.  This is basically a nightmarket, indoors, in daylight.  It,...",Dragon Mart,China-town of the Desert
AKflyboy,50,"Kind of happened into this little treasure chest quite randomly, and have come back many times. It's not a high end Seafood restaurant.  In fact, it's very basi,...",Fish Basket Restaurant,Crazy Cool Catch
AKflyboy,40,"The mall isn't much, but the Unuon Coop here is what I go for.  Regularly. It's effectively the Costco of UAE. OK. Let's be reasonable. It's nowhere on the same,...",Al Barsha Mall,Best Supermarket in the desert
AKflyboy,40,"They say it well in the self-description on their web-page. This is a place offering ""quality food and drinks at a reasonable price... also known for throwing a,...",The Beach by Sho Cho,Chic for less Coin
AKflyboy,50,"Trendy, original, fun & delightfully different from the other coffee chains. I've come to 3 different Cupagahwa coffee shops now, & I always feel happy I did.,...",Cupaghawa La Mer,"Authentic & Original, Artistic Coffee "
AKflyboy,40,"I didn't try it for awhile, because if I'm gonna have a seafood feast, I don't want frozen fish from another restaurant chain.  But this place almost convinces ,...",Urban Seafood,Chain Food with Flare
AKflyboy,40,"Uuuuuh, what? That's correct. Vietnamese chain serving genuine Italian pizza with a Japanese twist. Yeah. You gotta try this deal to realize what we're all on a,...",Pizza 4P's Trang Tien,Vietnapanalian Pizza
AKflyboy,40,"The decor draws you in.  The food is absolutely on-point, & the staff are exceptionally attentive & helpful, especially for a part of the world where service is,...",Tribes,Wildly Civilized
AKflyboy,20,"Let's start with, we're in the Maldives, the paradise of paradise vacation spots where reality fades away and life is perfect and happiness and joy are as abund,...",Gangehi Island Resort,Beautiful Disappointment
AKflyboy,40,"Hard Rock cafe is not a place you come for a quiet, jazz & candle light ambiance.  The waiters don't wear tuxedo's, and there's no menu items in French.  There',...",Hard Rock Cafe Dubai,Rocking the Date Topped Burger Pretty Hard
AKflyboy,30,"I'm not even sure 3 out of 5 is fair.  Maybe 2.  Don't get me wrong.  I love steak.  They have the beef, properly cut, aged decently, and service isn't bad.  Bu,...",Texas Roadhouse,"Look the other way, Texas."
Lori2000_11,,"I just bought a round trip ticket from Port of Miami to Bimini; using a coupon from FRS and 1 adult with taxes is $96 both ways; from Port of Miami; I will be v,...",Miami Beach,
Lori2000_11,50,"Pros: the hotel is located in the middle of everything. If you want to shop, eat, dine, and close to the south and the north of the city. Malecon is safe.Cons:,...",Hotel Malecon Inn,"AFFORDABLE, CONVENIENT LOCATION AND CLEAN, BKFAST INCLUDED"
Lori2000_11,50,"This is the lowest place in earth. There is no living creature in the sea. I went with American Israel travel for 10 days in a tour the roots of your faith. It ,...",Dead Sea,TOUR TO THE DEAD SEA through American Israel Travel
Lori2000_11,50,"I traveled in a 10 days tour to Israel with American Israel Travel. Today we stopped at Jerusalem and visited the Western Wall. A holly place in the city of Jer,...",Western Wall,The Western Wall 
Lori2000_11,50,"I've booked this trip with American Israel Travel for 10 days going to Israel and different places. The tour exceeded my expectations. The tour person Yayir  so,...",America Israel Tours,November Roots of your Faith tour 
Lori2000_11,50,"If you are planning to visit south beach alone or with friends and enjoy doing many things, this is the place. In the heart of south beach, dining, entertainmen,...",Posh South Beach Hostel,Very convenient location
Lori2000_11,50,"If you like hiking and outdoors adventures visiting the Catskills is the place. The Kaaterskills falls is a must to see as well as the Howe Caverns. I went with,...",Kaaterskill Falls,Kaaterskill falls and Howe Caverns
Lori2000_11,40,This is a nice relaxing park around washington square. It is located close to the Village. A lot of people at lunch time and after work hours.,Washington Square Park,Washington Square
Lori2000_11,50,"Well it is back the famous Nathans, and now, they are serving Oysters. Regardless Sandy Hurricane is back and it is bigger.",Nathan's Famous,Nathans at Coney Island
Lori2000_11,40,"In the summer time, this place is crowded they have a great variety of all kind of flavors of ice creams. The price is reasonable but more important during the ,...",Lemon Ice King of Corona,Lemon ice in corona
Lori2000_11,50,"it is a well organized, secured place to visit and have some background and history of what happened on 09/11. I visited along with family from other country an,...",The National 9/11 Memorial & Museum,9/11 Memorial
Lori2000_11,50,"It has been remodeling for almost a year, however, it is nice to walk and hike to and from Brooklyn. It is a safe place to stroll and it has nice views of the C,...",Brooklyn Bridge,Brooklyn Bridge
Lori2000_11,50,"I visited Central park all year round, the entrance through 59th street or where the horses stroll. It has beautiful views of the park and when the seasons are ,...",Central Park,Central Park at 59th street
Lori2000_11,50,"If you have the chance to visit Queens, please visit the Forest Park at Metropolitan avenue, It is a huge park with different trails for Hiking. Yellow , Blue a,...",Forest Park,Forest Park Hiking
StephieAlice,10,"I visited this shop with my family after the children saw some toys in the window. Unfortunately, the shop wasn't quite as child friendly as their window displa,...",Bys A Bawd,Like something from Royston Vasey
Lori2000_11,50,"I had the beautiful experience to visit the garden on may 2013; I have visited during the fall; however, I will never thought that during this time you have dif,...",Brooklyn Botanic Garden,Brooklyn Botanical Garden
StephieAlice,30,"I stayed in the Marriott with my mum and sister on a girly weekend away. We chose this location as it was close enough to Camden, where we needed to visit a uni,...",London Marriott Hotel Maida Vale,Good but not great
StephieAlice,30,"Conveniently located across the road from the Marriott, we decided to grab lunch here whilst our room was being sorted for check in. The food was delicious bu,...",Queen Arms Pub,Nice meal if you can deal with the staff....
Lori2000_11,50,"If you like to rest and be able to go to town withing 10 minutes. this is the place. You take a taxi or bus outside the hotel. very safe . Buffet is good many c,...",Hotel Riu Palace Cabo San Lucas,BEAUTIFUL AFFORDABLE HOTEL
StephieAlice,50,"We have stayed here many times and will be staying here many times more in the future. The cottage is really homely, with most of the furniture and decor bein,...",Tower Cottage,Perfect weekend away
Lori2000_11,50,"The Arch was 10 minutes from Riu Palace. Take a water taxi $5-7 dollars from the hotel. It is  situated near Lovers and Divorce beach. Explore all the rocks' fo,...",El Arco de Cabo San Lucas,El Arco May 09
StephieAlice,10,"Pros:+ Close to centre+ Manager lovely+ Comfy beds in aircon roomsCons:- Noisy- Cockroaches in showers and tiny bugs everywhere- never any plates etc in,...",Viajero Hostel Cartagena,Go Elsewhere
Lori2000_11,40,"We went by bus however, it is very difficult to take the bus and cross the streets. it is a long walk from the bus to the beach. However we went again thru the ,...",Chileno Beach,Chileno Beach
StephieAlice,50,"We stayed here over Christmas and it was such a relaxing time during a hectic 8 month trip around South America. Whilst we were there, Javier the owner upgraded,...",Tinto Hostel,Beautiful Hostel in Beautiful Barichara
Lori2000_11,50,"It is 1 hour away from the city but it is worthy. the whole thing last 40 minutes. you get your pictures and your experience. it costs around $250.0 with pictur,...",Cabo Adventures,dolphins
StephieAlice,40,"Pros:+Lovely owner+Quiet hostel+Cheap+Clean+Good internet with computer availableCons:-very basic-old mattresses/ outdated décor and furnishings- bare,...",Adventure Hostel Paraty,Lovely Owner
Lori2000_11,50,"I never knew that my stay at Miami Beach was going to be so pleasant; surprise!!! theCrystal Hotel had what I wanted; right on the beach, it has a kitchen, pla,...",Crystal Beach Suites Oceanfront Hotel,"VERY ECONOMIC, and convenient"
StephieAlice,40,"We stayed in Kasa Guane for 3 nights and overall, our stay was very good. The owner is actually from the same town as where my boyfriend is from and it was grea,...",Hostel Kasa Guane,A hostel with a good heart
StephieAlice,20,"We stayed here twice in our 8 month stay in South America. The first time was amazing but sadly the second was just so bad we left. The good things about the ,...",Che Lagarto Hostel Paraty,Totally Gone Downhill
