autor,calificacion,contenido,hotel,titulo
pe4all4,,"We were also booked to stay at Galapagos Habitat for this August.  Our tour company changed us to Finch Bay instead.  I would rather stay at Blu, looking at the,...",Puerto Ayora,
pe4all4,,No more covid test needed for return to U.S.  Problem solved!,Galapagos Islands,
pe4all4,,Yay!  One big worry off our plates for our August trip!,Galapagos Islands,
pe4all4,,Thanks for the review.  Looking forward to our August trip! Just a quick question - where did you get your covid test for return to the U.S.?,Galapagos Islands,
pe4all4,,"RobUSA -We are in 2 balcony cabins on the Legend.  With so few reviews, just wondering how the Legend worked the excursions to the islands.  We are on a 4 nigh,...",Galapagos Islands,
pe4all4,,"RobUSA - have you recently been on the Legend?  We are on her in August, and are looking for some recent opinions/advice about her.",Galapagos Islands,
pe4all4,50,"We stayed 3 nights to attend a friend’s wedding.  Checkin was  quick and easy.  Our room was spotless, quiet and a/c worked great.  No view to speak of - just r,...","The Hotel at Avalon, Autograph Collection",Great stay
pe4all4,,"We are doing our bucket-list trip in August.  We are flying  directly to Guayaquil.  Decided to skip Quito due to the altitude, and we wanted the proximity to G,...",Galapagos Islands,
,40,"This is a great hotel. Conveniently located near the airport and the bus station. The buffet breakfast has quite extensive and worth it. The hotel is right next,...",TRYP by Wyndham Guayaquil,"Modern and chic hotel, great location"
pe4all4,,"Thank you for your review.  My husband's biggest fear is not of contracting covid, but contracting it while in Ecuador and being ""stranded"" at a hotel for x amo,...",Galapagos Islands,
pe4all4,,"Hoping your trip is wonderful.  We are flying into Ecuador on a Thursday night, arriving on a Friday morning.  Staying at Wyndham Guayaquil for 2 nights before ,...",Galapagos Islands,
pe4all4,,"Soooo - after being cancelled on the Infinity yacht due to covid we decided to re-book this August on Galapagos Legend. I know people like the ""smaller"" ships/y,...",Galapagos Islands,
,50,"Great experience, staff very helpful, clean rooms, make you feel at home.excellent food and amazing bar at the lobby. Mixologist Jesus Lucio its excellent from,...",Sheraton Guayaquil Hotel,"Clean, excellent food & amazing lobby bar"
Dynamitetravel,50,"Virgin Hotels Nashville is a stay that you must experience for yourself. I know that there are a number of negative reviews but don't let that deter you from a ,...",Virgin Hotels Nashville,A Nashville Hotel That You Must Experience
Dynamitetravel,50,"From the moment that I entered the hotel, the staff made me feel very welcome. The bellman team opened my transfer car door, opened the hotel doors for me and i,...",Sofitel Buenos Aires Recoleta,A Gem in Recoleta
Dynamitetravel,40,"My family and I spent a weekend at this property to try it out for a staycation. The property is huge and has a lot of amenities for everyone to enjoy. We enjoy,...",Marriott's Grande Vista,Nice Option For Family Stay
Dynamitetravel,50,"I had a short stay at the hotel before my Expedition Cruise. The hotel provided fantastic airport transfers. The bellman were courteous and friendly. The front ,...",Oro Verde Guayaquil,Great Staff and Service
Dynamitetravel,50,"My spa experience was so good that we went back again the next day! We did the Mexican Massage and Better Together treatments. Corina, Edly, Lily, and Jacquelin,...",Nuup Spa,World Class Spa Experience
Dynamitetravel,50,"My experience with Unique was exceptional for my arrival and departure. They went above and beyond what I could have imagined. They were on time and communicati,...",Unique Private Transportation,The Best Transfer Service is Unique
Dynamitetravel,50,"I've stayed at this hotel several times before but this time was the first that I stayed there for an event. The sales team, F&B team were super responsive and ,...",Lake Nona Wave Hotel,Great Grouo Event Experience and Stay
Dynamitetravel,50,"This hotel is a great option for all types of travelers. It is steps away from the convention center so is great for business or event travelers. It is a short ,...",New Orleans Marriott Warehouse Arts District,Perfect Option For All Types of Travelers
Dynamitetravel,50,"The Four Seasons has entered the New Orleans market challenging the city to raise their standards. This hotel is perfection from the moment that you enter. The ,...",Four Seasons New Orleans,New Orleans' Finest Establishment
Dynamitetravel,50,"The Westin hotel is a perfect option for the first time visitor or the explorer because of its location. The hotel is located near the CBD, French Quarter and c,...",The Westin New Orleans,Perfect Location For A New Orleans Stay
Dynamitetravel,50,"My Grand Hyatt Vail experience was top notch! From the moment I arrived, I was warmly greeted by staff who explained where check-in was as well as where the res,...",Grand Hyatt Vail,The Best Views In Vail
Dynamitetravel,50,"The Painted Ladies Tour Company did a spectacular job with our tour. Armando was definitely one of the smartest tour guides I've ever seen! He was very knowledg,...",Painted Ladies San Francisco City Tour,Armando is The Guide To Get For This Tour!
Dynamitetravel,50,"My sailing experience with Adventure Cat was super! The crew was organized and even the Captain was engaging which doesn't always happen. The vessel was clean a,...",San Francisco Bay Sunset Catamaran Cruise,The Crew Really Makes The Excursion Memorable
Dynamitetravel,50,"My experience at Hammock Beach Golf Resort & Spa is one that I will not forget. Before you even reach the property you are welcomed with beautiful canopy trees ,...",Hammock Beach Golf Resort & Spa,Hidden Gem For Families and Groups
Dynamitetravel,50,"The Hyatt Place was a perfect choice for me as I attended a conference. The rooms were very spacious and the daily breakfast was definitely a time saver. All of,...",Hyatt Place San Juan,Great San Juan Convention Center Hotel Option
Dynamitetravel,50,"My family stayed at this property and it was a breath of fresh air. It was super convenient to I-Drive but removed enough to be away from the chaos. Taylor and ,...",Home2 Suites by Hilton Orlando South Park,Peaceful Option Away From The Noise
Dynamitetravel,50,"Island Flavor is a must do when you visit Saba. The tacos were A1 and the fries were super delicious didn't even need ketchup! Last but not least do NOT leave w,...",Island Flavor,Great Option For Lunch
Dynamitetravel,50,"La Pepita was great! I tried cazon for the first time and it was delicious. All of the food was very fresh and the coconut shrimp were huge! Walter was a great ,...",La Pepita,Great Puerto Morelos Seafood Restaurant Option
EdinColorado,50,"This is among the finest hotels we have experienced (and we've been to several world class properties through the years).  The restaurants were wonderful and va,...",Wyndham Guayaquil,Spectacular hotel - - and the roses!
Dynamitetravel,50,"The Springhill met my expectations. It can be difficult to find because it is off from the road but once you arrive the service from everyone is really good. I',...",SpringHill Suites Orlando Altamonte Springs/Maitland,Perfect Short Stay
EdinColorado,30,"Interesting hotel because of the location.  Jack London Square is a touristy and walkable marina area.  We stayed at Waterfront because it was less than two blo,...",Waterfront Hotel,"An okay hotel, a great location, but pretty plain"
Dynamitetravel,20,"The hotel has a great location but there is definitely room for improvement. The service is lackluster no one seems to want to work. It wasn't communicated to m,...",Hilton Miami Downtown,Great Location But Lots of Room For Improvement 
EdinColorado,40,"Beautiful hotel in good location for us.  Had appetizers and wine in the bar area.   Servers were wonderful,  friendly and checked back often.  Sara at the fron,...",Hyatt Regency San Francisco Downtown SOMA,Lovely hotel and staff
EdinColorado,40,"Extremely large room with seating area adjacent to sleeping area (adjacent, but not separated by any walls).Standard buffet breakfast in large lobby with a var,...",La Quinta Inn & Suites by Wyndham Newark - Elkton,Really nice LA Quinta
EdinColorado,50,"We don’t usually rate 5 stars (or for TripAdvisor, five “dots”) for a hotel like this.  Typically, we’d give it four.  But something about the hotel was remarka,...",Hotel Alcantara,Something about this hotel was strangely appealing
EdinColorado,40,"Things didn’t get off to a good start when our taxi driver drove us to the wrong Macia Hotel in Grenada.  There are a few of them, so double check that your tax,...",Hotel Macia Plaza,"Wonderful location, plain old rooms"
EdinColorado,40,"A small hotel with simple, contemporary rooms in a wonderful location.  Our family had two rooms for our four night stay in Madrid.  The hotel is only a few yar,...",B&B HOTEL Madrid Centro Puerta del Sol,Nice small hotel in wonderful location
Goodwill A,50,"Extremely comfortable room with large pillows and inviting beds. Great service throughout our stay. Great location with lots of restaurants around. Breakfast wa,...",River Garden Hotel & Suites,Great experience in Guayaquil 
EdinColorado,50,"Typically, we only give five stars to hotels that are absolutely the finest.  Occasionally, five stars are merited because the hotel (although a tier down in lu,...",Hotel Nuevo Boston,Fine choice for an airport hotel
EdinColorado,40,"We were pleasantly surprised by the Old Santa Fe Inn.  It's architecture and interiors are classic southwest mission/adobe style.   Only three or four small blo,...",Old Santa Fe Inn,Lovely hotel near the Plaza
EdinColorado,,,,
EdinColorado,30,"Sadly, the shop has closed.  According to the owner of a small antique shop a few doors down the street, the owner and his adult son decided to discontinue the ,...",Faïences Saint-romain,"Sadly, the shop has closed"
EdinColorado,,"With toddlers and luggage, you just might want to find a hotel close to the airport with a shuttle.  When you are ready, take the shuttle back to the airport an,...",Denver,
EdinColorado,,"Here is a day trip that begins in Denver and ends in Breckenridge for lunch.  We often use this with out of town guests.  If you are starting in downtown Denver,...",Denver,
EdinColorado,,"""Mountain driving"" can be as simple as staying on Interstate 70 - - which is pretty much like any interstate in the country.  Take the buffalo herd overlook exi,...",Denver,
EdinColorado,,"Hopefully, at the end of 2021 my nice wife and I will be attending a conference in Auckland.   At the conclusion of the conference we would like to fly to the s,...",New Zealand,
EdinColorado,,"A nice covered parking garage is the Cultural Center Complex Garage Parking garage, 65 W 12th Ave.  It's immediately adjacent to the Denver Art Museum and a blo,...",Denver,
EdinColorado,,"If you are hungry after you get your rental car, an interesting place near the airport is  DiCicco’s (Italian).  http://diciccoscolorado.com/    It’s on Tower R,...",Denver,
EdinColorado,50,"We don't often give ""5 stars"" to motels or hotels.  Mostly, we reserve 5 stars for truly luxurious, world class, hostellers.  Once in a while though, we find a ,...",Hanging Lake Inn,Incredibly great value
EdinColorado,40,"We spent three nights at the Antler Inn while visiting Yellowstone National Park. This is a wonderful hotel in West Yellowstone.  Room 213 was a VERY large king,...",Three Bear Lodge,A wonderful hotel
EdinColorado,40,"During our travels we stayed here one night.  We had been hesitant to travel due to Covid-19.  The staff and safety adjustments made by the hotel provided reass,...",Hampton Inn & Suites Casper,Really nice Hampton Inn
Maria Ines M,50,"I like the service, it was comfortable and the food was delicious. The hotel was clean and, the bed was comfortable, the hotel personal were super kind and help,...",Unipark Hotel,A very cool and relaxing service
Tony S,40,"Hola q tal ,,amigos ,,vengan a disfrutar de la capital y que mejor hospedarse en un lugar bien ubicado,,.chevere ,,para pasar con amigos ,familia o pareja ,,aco,...",Ibis Quito Hotel,nuevas oportunidades 
Tony S,40,"En el centro comercial ,Jardín ,,es un genial lugar para pasear y sobre todo para degustar de un buen plato ,en compañía de familia ,,amigos y pareja ,,es te ,...",Hansel & Gretel,"Buena comida,,genial,"
Tony S,40,"Si visitas Galapagos ,,un lugar sin duda q tienen que visitar es la Estación Charles Darwin,,el mejor,,para los estudios de la flora y  fauna de la islas ,está ,...",Charles Darwin Research Station,Lo mejor
Tony S,40,"Un lugar para pasar en Santa Cruz ,Galápagos..es el Hostal Muyuyo ,,excelente ubicación ,,,cerca a tan solo 3 cuadras del malecón ,sus propietarios los atienden,...",Hostal Muyuyo,"Galapagos,,H?Muyuyo"
Tony S,40,"Para quienes les gusta de una buena caminata y disfrutar de su paisaje q nos da la ciudad de Guayaquil ,,sus restaurantes y su amplia comida ,,muy elegantes la,...",Puerto Santa Ana Riverfront I,Relax 
Tony S,40,"Para Llegar ,,Quito,,,por la Av, de los shirys de sur a Norte una calla antes de llegar de la Río Coca,a la derecha está uno de los mejores lugar para comer com,...",Cevichería Cedenos,Los mejor del Mar
Tony S,40,"Viaje a mi tierra ,Galápagos ,Santa cruz,,este es un vuelo con una escala intermedia,en la ciudad de Guayaquil ,el primer tramo tiene una duración de 40 mtos ,,...",TAME Vuela Ecuador,"Confortable,,"
Tony S,40,"Una buena opción de Hospedaje en las Islas Encantadas ,en Puerto Ayora ,es Capitán Max..un lugar pintoresco con buena ubicación ,,tanto en las noches para comer,...",Capitan Max B&B,"Hospedaje ,Isla Santa Cruz ,Gps"
Tony S,40,"Primeramente ,su ubicación es espectacular ,una vista genial muy acogedor para pasar n buen momento   en compañía de sus amigos ,familia ,o en pareja , sus due,...",Andrea & Valerio,Simplemente lo mejor en Santa Cruz
Tony S,40,"En su nuevo local ,la atención sigue siendo excelente ,tanto para disfrutar de sus platos como de la compañía sea está de amigos o en pareja o familia ,,cada un,...",IslaGrill,Súper 
Tony S,40,"Si quieren algo fuera de serie ,este es el lugar indicado ,el mejorlugar en Cumbaya Quito Ecuador ,,sus propios dueños los recibirán ,tanto Nacho como José ,,c,...",Nuum,"Lo Mejor en Gastronomía ,,"
Tony S,40,"Su ubicación está genial una área comercial ,,,su personal genial,,y su local ,muy limpio elegante a la vez ,su carta del menú es muy extensa ,desde el Sushi ,,,...",NOE Sushi Bar - C. C. San Marino,Sushi y algo más 
Tony S,40,"Para disfrutar de las playas y tranquilidad les recomiendo este lugar a unos 30 mtos o menos pasando tonsupa,,Same ,,encontramos hosteria el Acantilado ,,,tiene,...",El Acantilado Beach Hotel,"Same,,Esmeraldas"
Tony S,40,"El museo del Templo del sol ..este está a tan solo 7 minutos del atractivo turístico Mitad del mundo..y a tan solo 2 minutos del mirador del volcán Pululahua ,,,...",Museo Templo del Sol Pintor Ortega Maila,Cultural..
Tony S,40,"Situado en un lugar genial cerca de todo ,,tienen parqueadero privado muy importante ,,las instalaciones bien ,acogedor para pasar en familia ,amigos o parejas ,...",Cinco Sentidos Restaurante,Genial 
Tony S,40,"El Ecuador definitivamente es un país mega diverso ,su flora y fauna,única ,en la ciudad de Guayaquil puedes pasar un día totalmente comprometido con la natural,...",Parque Historico Guayaquil,Genial
Tony S,50,"En Quito ,para disfrutar de la ciudad nada mejor que hospedarse es este hotel ,,súper bien ubicado confor ,lujoy la atención muy profesionales ,junto al palaci,...",Hotel Plaza Grande,Lo mejor
Tony S,50,"Para disfrutar de las playas de la ciudad de Manta y sus alrededores ,sin lugar a duda el Hotel Poseidón ,dan las facilidades para pasarla genial ,en compañía d,...",Hotel Poseidon,"Sol,playa ,elegancia"
Tony S,40,"Para deleitarse de su paisaje del lago San Pablo y de sus alrededores este es un genial lugar. el lugar posee un restaurant ,sus cabañas muy acogedoras ,lugar p,...",Cabanas del Lago - comedor,Genial lugar Imbabura
AKflyboy,30,"Well worth doing, as over 10,000 people have testified and reviewed. The scenery and experience they offer here is globally unique.  It really is one of Vietnam,...",Khu Du Lich Sinh Thai Trang An Co,Slave Labor with Nature & History
Tony S,40,"Torres Suites es una excelente alternativa para hospedarse y sentirse como en su propio departamento,excelente ubicación en la capital de los Ecuatorianos,,Amaz,...",Torres de Suites - Quito,Elegancia
AKflyboy,50,"Helping hundreds of backpackers (& counting) experience Vietnam, THIS is THE PLACE to go if you wanna have a well-managed and affordable travel experience.  I'v,...",Lily's Travel Agency,Excellent English-speaking Custom Travel Service
AKflyboy,10,"Limo Van is a transfer that picks up at the hotel, then changed to another one in town. Narrowly survived the initial ride, careening thru the countryside, only,...",Limousine Trang An,Slumlord Limo Service
AKflyboy,30,"The place feels very old Dubai, almost to the point of being nostalgic.  The food is rather average, and nothing really more or less than you'd expect at a loca,...",Ibn Hamido,Just Another Forgettable Memory
AKflyboy,40,"Once you get to the top, the experience is decent.  Nice malls, good dining options, the view of one of the world's premier cities is nothing short of breathtak,...",Peak Tram,Worth the Wait? 
AKflyboy,50,"This is one of the most happening, awe-inspiring attractions in a city that is known globally for it's flash and flamboyance.  It's been reviewed over 60,000 ti,...",The Dubai Fountain,Bling Ding & Dazzle
AKflyboy,30,"Ok.  If you wanna buy a Korg, this is where you're gonna go.  Or Kawai.  I've also purchased a VOX guitar pedal board from these guys, as well as a few other mu,...",Orchestra Megastore,"Weird Hours, Decent Store"
AKflyboy,30,"This place was the best of the best, king of the hill, top of the stack, place to see and be seen ... back in the 90's when it opened.  Don't get me wrong.  It',...",Aviation Club Hotel,Happening Historically
AKflyboy,50,"It should be number one. The price is free. The place is lovely. It's one of the few genuinely, incredible nature attractions in the region.  It seems never to ,...",Ras Al Khor Wildlife Sanctuary,The ONLY real OMG Nature Scene in the Desert
AKflyboy,30,"Someone said it's a Chinese flea market.  Take it from someone who's spent a couple decades in Asia.  This is basically a nightmarket, indoors, in daylight.  It,...",Dragon Mart,China-town of the Desert
AKflyboy,50,"Kind of happened into this little treasure chest quite randomly, and have come back many times. It's not a high end Seafood restaurant.  In fact, it's very basi,...",Fish Basket Restaurant,Crazy Cool Catch
AKflyboy,40,"The mall isn't much, but the Unuon Coop here is what I go for.  Regularly. It's effectively the Costco of UAE. OK. Let's be reasonable. It's nowhere on the same,...",Al Barsha Mall,Best Supermarket in the desert
AKflyboy,40,"They say it well in the self-description on their web-page. This is a place offering ""quality food and drinks at a reasonable price... also known for throwing a,...",The Beach by Sho Cho,Chic for less Coin
AKflyboy,50,"Trendy, original, fun & delightfully different from the other coffee chains. I've come to 3 different Cupagahwa coffee shops now, & I always feel happy I did.,...",Cupaghawa La Mer,"Authentic & Original, Artistic Coffee "
AKflyboy,40,"I didn't try it for awhile, because if I'm gonna have a seafood feast, I don't want frozen fish from another restaurant chain.  But this place almost convinces ,...",Urban Seafood,Chain Food with Flare
AKflyboy,40,"Uuuuuh, what? That's correct. Vietnamese chain serving genuine Italian pizza with a Japanese twist. Yeah. You gotta try this deal to realize what we're all on a,...",Pizza 4P's Trang Tien,Vietnapanalian Pizza
AKflyboy,40,"The decor draws you in.  The food is absolutely on-point, & the staff are exceptionally attentive & helpful, especially for a part of the world where service is,...",Tribes,Wildly Civilized
AKflyboy,20,"Let's start with, we're in the Maldives, the paradise of paradise vacation spots where reality fades away and life is perfect and happiness and joy are as abund,...",Gangehi Island Resort,Beautiful Disappointment
AKflyboy,40,"Hard Rock cafe is not a place you come for a quiet, jazz & candle light ambiance.  The waiters don't wear tuxedo's, and there's no menu items in French.  There',...",Hard Rock Cafe Dubai,Rocking the Date Topped Burger Pretty Hard
AKflyboy,30,"I'm not even sure 3 out of 5 is fair.  Maybe 2.  Don't get me wrong.  I love steak.  They have the beef, properly cut, aged decently, and service isn't bad.  Bu,...",Texas Roadhouse,"Look the other way, Texas."
Lori2000_11,,"I just bought a round trip ticket from Port of Miami to Bimini; using a coupon from FRS and 1 adult with taxes is $96 both ways; from Port of Miami; I will be v,...",Miami Beach,
Lori2000_11,50,"Pros: the hotel is located in the middle of everything. If you want to shop, eat, dine, and close to the south and the north of the city. Malecon is safe.Cons:,...",Hotel Malecon Inn,"AFFORDABLE, CONVENIENT LOCATION AND CLEAN, BKFAST INCLUDED"
Lori2000_11,50,"This is the lowest place in earth. There is no living creature in the sea. I went with American Israel travel for 10 days in a tour the roots of your faith. It ,...",Dead Sea,TOUR TO THE DEAD SEA through American Israel Travel
Lori2000_11,50,"I traveled in a 10 days tour to Israel with American Israel Travel. Today we stopped at Jerusalem and visited the Western Wall. A holly place in the city of Jer,...",Western Wall,The Western Wall 
Lori2000_11,50,"I've booked this trip with American Israel Travel for 10 days going to Israel and different places. The tour exceeded my expectations. The tour person Yayir  so,...",America Israel Tours,November Roots of your Faith tour 
Lori2000_11,50,"If you are planning to visit south beach alone or with friends and enjoy doing many things, this is the place. In the heart of south beach, dining, entertainmen,...",Posh South Beach Hostel,Very convenient location
Lori2000_11,50,"If you like hiking and outdoors adventures visiting the Catskills is the place. The Kaaterskills falls is a must to see as well as the Howe Caverns. I went with,...",Kaaterskill Falls,Kaaterskill falls and Howe Caverns
Lori2000_11,40,This is a nice relaxing park around washington square. It is located close to the Village. A lot of people at lunch time and after work hours.,Washington Square Park,Washington Square
Lori2000_11,50,"Well it is back the famous Nathans, and now, they are serving Oysters. Regardless Sandy Hurricane is back and it is bigger.",Nathan's Famous,Nathans at Coney Island
Lori2000_11,40,"In the summer time, this place is crowded they have a great variety of all kind of flavors of ice creams. The price is reasonable but more important during the ,...",Lemon Ice King of Corona,Lemon ice in corona
Lori2000_11,50,"it is a well organized, secured place to visit and have some background and history of what happened on 09/11. I visited along with family from other country an,...",The National 9/11 Memorial & Museum,9/11 Memorial
Lori2000_11,50,"It has been remodeling for almost a year, however, it is nice to walk and hike to and from Brooklyn. It is a safe place to stroll and it has nice views of the C,...",Brooklyn Bridge,Brooklyn Bridge
Lori2000_11,50,"I visited Central park all year round, the entrance through 59th street or where the horses stroll. It has beautiful views of the park and when the seasons are ,...",Central Park,Central Park at 59th street
Lori2000_11,50,"If you have the chance to visit Queens, please visit the Forest Park at Metropolitan avenue, It is a huge park with different trails for Hiking. Yellow , Blue a,...",Forest Park,Forest Park Hiking
Lori2000_11,50,"I had the beautiful experience to visit the garden on may 2013; I have visited during the fall; however, I will never thought that during this time you have dif,...",Brooklyn Botanic Garden,Brooklyn Botanical Garden
Lori2000_11,50,"If you like to rest and be able to go to town withing 10 minutes. this is the place. You take a taxi or bus outside the hotel. very safe . Buffet is good many c,...",Hotel Riu Palace Cabo San Lucas,BEAUTIFUL AFFORDABLE HOTEL
Lori2000_11,50,"The Arch was 10 minutes from Riu Palace. Take a water taxi $5-7 dollars from the hotel. It is  situated near Lovers and Divorce beach. Explore all the rocks' fo,...",El Arco de Cabo San Lucas,El Arco May 09
Lori2000_11,40,"We went by bus however, it is very difficult to take the bus and cross the streets. it is a long walk from the bus to the beach. However we went again thru the ,...",Chileno Beach,Chileno Beach
Lori2000_11,50,"It is 1 hour away from the city but it is worthy. the whole thing last 40 minutes. you get your pictures and your experience. it costs around $250.0 with pictur,...",Cabo Adventures,dolphins
Lori2000_11,50,"I never knew that my stay at Miami Beach was going to be so pleasant; surprise!!! theCrystal Hotel had what I wanted; right on the beach, it has a kitchen, pla,...",Crystal Beach Suites Oceanfront Hotel,"VERY ECONOMIC, and convenient"
Pameopina,30,"El hotel está en un sitio residencial que buen ambiente las habitaciones de abajo no son tan acorde al hotel eso si bien  aseado, la atención al huésped en muy,...",Hotel de Alborada,Es bueno
Pameopina,30,"No hay agua caliente a pesar de que por teléfono lo ofertan, el servicio no es bueno, al personal le falta capacitarse en atención al cliente, Excelente ubicaci,...",Hotel Ciudad Latin Palace,Puede mejorar
Joselyn S,10,"el hostal no cuenta con servicio de limpieza los fines de semana, tampoco cuenta con internet 100% disponible ( dicen que se cae a cada rato)  no ponen jabón ni,...",Residencial Turistico Guayas,"MAL SERVICIO, MAL HOSTAL"
Andy-Diane2011,50,"Stayed at Charo's for three days in early Dec  Most of the reviews posted here are right on, English is spoken here and that helps alot as we don;t speak Spanis,...",Charo's Hostal,A very pleasant stay
Andy-Diane2011,20,"Do Not Stay here on your first night in Ecuador- rooms are adequate but the bathrooms are not in your room so you must go out into the hallways to get there- th,...",Hostal North Star,First Night in Guayaquil
Andy-Diane2011,50,"This we found after going to several other cities in Ecuador is an outstanding Malecon the best in Ecuador. Enjoy the food at the Yatch Club. A good way to spen,...",Malecon 2000,Best in Ecuador
StephieAlice,10,"I visited this shop with my family after the children saw some toys in the window. Unfortunately, the shop wasn't quite as child friendly as their window displa,...",Bys A Bawd,Like something from Royston Vasey
StephieAlice,30,"I stayed in the Marriott with my mum and sister on a girly weekend away. We chose this location as it was close enough to Camden, where we needed to visit a uni,...",London Marriott Hotel Maida Vale,Good but not great
StephieAlice,30,"Conveniently located across the road from the Marriott, we decided to grab lunch here whilst our room was being sorted for check in. The food was delicious bu,...",Queen Arms Pub,Nice meal if you can deal with the staff....
StephieAlice,50,"We have stayed here many times and will be staying here many times more in the future. The cottage is really homely, with most of the furniture and decor bein,...",Tower Cottage,Perfect weekend away
StephieAlice,10,"Pros:+ Close to centre+ Manager lovely+ Comfy beds in aircon roomsCons:- Noisy- Cockroaches in showers and tiny bugs everywhere- never any plates etc in,...",Viajero Hostel Cartagena,Go Elsewhere
StephieAlice,50,"We stayed here over Christmas and it was such a relaxing time during a hectic 8 month trip around South America. Whilst we were there, Javier the owner upgraded,...",Tinto Hostel,Beautiful Hostel in Beautiful Barichara
StephieAlice,40,"Pros:+Lovely owner+Quiet hostel+Cheap+Clean+Good internet with computer availableCons:-very basic-old mattresses/ outdated décor and furnishings- bare,...",Adventure Hostel Paraty,Lovely Owner
StephieAlice,40,"We stayed in Kasa Guane for 3 nights and overall, our stay was very good. The owner is actually from the same town as where my boyfriend is from and it was grea,...",Hostel Kasa Guane,A hostel with a good heart
StephieAlice,20,"We stayed here twice in our 8 month stay in South America. The first time was amazing but sadly the second was just so bad we left. The good things about the ,...",Che Lagarto Hostel Paraty,Totally Gone Downhill
StephieAlice,30,"We stayed here over New Year and having spent a good few nights at the Masaya in Santa Marta, we were so let down by this branch of the Masaya Hostels. We wer,...",Masaya Bogotá,What a Letdown
Lisa F,50,"Exceptionally well organised hostal with a wonderful decor. As a single woman traveller the dormitory was very comfortable. I will definetly return and I cannot,...",Hostal Boutique Bella 269,Fantastic
